,id,source_x,source_y,target_x,target_y,projected_src_x,projected_src_y,transform_error
0,1.0,2026.600641003882,-2236.398594093517,5742957.092,3588783.315,5742956.862140367,3588783.473300067,0.2790956148217259
1,2.0,3745.4034889348873,-1620.5749858722493,5742950.091,3588784.181,5742950.1322314,3588784.134918696,0.06183457737849915
2,3.0,594.4752805793561,-959.5830877836268,5742961.891,3588784.179,5742961.60729428,3588784.2861189754,0.3032546954319478
3,4.0,2465.5840661702005,-1001.695165518937,5742955.344,3588784.76,5742955.455923227,3588785.0482847984,0.3092489836296115
4,,1303.8522554516258,-612.0024368185404,5742960.122,3588785.829,5742959.44811092,3588785.444802573,0.7757152538851357
5,,1352.1900456412545,-1047.1547824758052,5742959.543,3588784.72,5742959.346013498,3588784.578851242,0.24233582876580828
6,,1009.7299314946565,-1275.0612647283194,5742960.563,3588783.929,5742960.4080565395,3588784.0084968335,0.17414712894022819
7,,976.6117996329588,-1760.6863272654896,5742960.68,3588783.291,5742960.444214892,3588783.359774682,0.24561061472878223
8,,3453.9058790070244,-2291.2132805844444,5742951.182,3588783.643,5742951.220542797,3588783.619510673,0.04513641191441384
9,,3872.095943568073,-2206.428346113844,5742949.472,3588783.58,5742949.400774472,3588783.6074780086,0.07634210335893019
10,,4038.4092301446008,-2085.556477215161,5742948.939,3588783.7,5742948.680915508,3588783.646441737,0.26358317938855685
11,,2283.2841455424154,-1918.7751490743567,5742956.016,3588783.611,5742956.037648844,3588783.7626269036,0.15316458572732222
12,,1908.1721930244134,-1221.1396845372346,5742957.435,3588784.363,5742957.489051747,3588784.515559059,0.1618513452482679
13,,2072.4007442241505,-1006.2887181472499,5742956.82,3588784.774,5742956.904990776,3588784.9418793386,0.188167224253303
14,,3274.121192930704,-1690.9252354333573,5742952.072,3588784.152,5742952.169381115,3588784.095896593,0.1123862706073752
15,,2982.345753632082,-1338.2129886902378,5742953.211,3588784.607,5742953.4243269805,3588784.549479548,0.22094570134451016
16,,3052.411893150244,-2448.841710287494,5742952.902,3588783.62,5742952.842526742,3588783.569251115,0.07818259206744409
17,,2837.3299765058164,-2098.5418691609334,5742953.851,3588783.606,5742953.8543106215,3588783.7201092904,0.1141573052786252
18,2.0,610.7066481980479,-1775.013966741137,5742959.543,3588784.72,5742961.50018613,3588783.1073951633,2.53595581797539
